Timestamp,The following options include artworks in different styles. Please select all the Impressionist paintings.,The following options include artworks in different styles. Please select all the Impressionist paintings.,The following options include artworks in different styles. Please select all the Impressionist paintings.,The following options include real paintings and fake paintings generated by AI models. Please select all the paintings that seem real to you.,The following options include real paintings and fake paintings generated by AI models. Please select all the paintings that seem real to you.,The following options include real paintings and fake paintings generated by AI models. Please select all the paintings that seem real to you.
11/28/2021 21:50:16,Option 6,Option 1,"Option 1, Option 4, Option 5, Option 6","Option 1, Option 2, Option 5, Option 6","Option 1, Option 3, Option 4, Option 5, Option 6","Option 1, Option 2, Option 3, Option 4, Option 5, Option 6"
11/28/2021 22:32:01,None of the above,None of the above,Option 3,"Option 5, Option 6","Option 1, Option 5, Option 6",Option 1
11/28/2021 23:04:12,"Option 3, Option 6","Option 2, Option 3, Option 4, Option 5",Option 6,"Option 1, Option 2, Option 3, Option 4, Option 5, Option 6",Option 1,"Option 2, Option 3, Option 4, Option 5"
11/28/2021 23:11:33,None of the above,None of the above,Option 6,"Option 2, Option 4",None of the above,"Option 2, Option 6"
11/28/2021 23:27:39,"Option 3, Option 4, Option 6","Option 1, Option 4","Option 2, Option 6","Option 1, Option 2, Option 6","Option 1, Option 5, Option 6",Option 1
11/28/2021 23:39:03,Option 6,Option 4,None of the above,"Option 1, Option 2, Option 6","Option 1, Option 5, Option 6","Option 1, Option 5"
11/28/2021 23:39:54,None of the above,"Option 4, Option 5","Option 2, Option 6","Option 1, Option 6","Option 1, Option 6",Option 1
11/28/2021 23:55:07,Option 3,"Option 4, Option 6","Option 2, Option 6","Option 1, Option 2","Option 1, Option 5, Option 6","Option 3, Option 5, Option 6"
11/29/2021 0:00:07,None of the above,Option 4,None of the above,"Option 2, Option 3, Option 4, Option 5, Option 6","Option 2, Option 3, Option 4, Option 5, Option 6","Option 2, Option 3, Option 4, Option 6"
11/29/2021 0:01:16,None of the above,None of the above,Option 2,"Option 1, Option 2, Option 5, Option 6","Option 1, Option 5, Option 6","Option 1, Option 4, Option 5"
11/29/2021 0:08:30,None of the above,Option 4,"Option 2, Option 6","Option 1, Option 6","Option 1, Option 5",Option 1
11/29/2021 0:33:21,"Option 3, Option 4, Option 6","Option 1, Option 3","Option 4, Option 5, Option 6","Option 4, Option 5","Option 2, Option 3","Option 1, Option 3, Option 6"
11/29/2021 0:37:32,None of the above,Option 4,"Option 2, Option 6","Option 2, Option 5","Option 1, Option 6","Option 1, Option 5, Option 6"
11/29/2021 2:29:28,Option 4,None of the above,"Option 2, Option 6","Option 1, Option 2, Option 6","Option 1, Option 5, Option 6","Option 1, Option 3, Option 5"
11/29/2021 9:13:33,"Option 1, Option 3, Option 4","Option 1, Option 3","Option 2, Option 3, Option 6","Option 1, Option 3, Option 5, Option 6","Option 3, Option 5, Option 6","Option 1, Option 5, Option 6"
11/29/2021 11:37:57,"Option 3, Option 4, Option 6","Option 1, Option 3, Option 6","Option 1, Option 3, Option 4, Option 5, Option 6","Option 1, Option 2, Option 4, Option 6","Option 1, Option 3, Option 5, Option 6","Option 1, Option 4, Option 5"
11/29/2021 11:49:14,"Option 3, Option 6",Option 1,"Option 3, Option 5, Option 6","Option 3, Option 4","Option 2, Option 4","Option 2, Option 3, Option 5, Option 6"
11/29/2021 13:38:45,None of the above,Option 4,"Option 2, Option 6","Option 1, Option 2, Option 4","Option 3, Option 4, Option 5, Option 6","Option 1, Option 2, Option 5, Option 6"
11/29/2021 15:18:31,None of the above,None of the above,Option 6,"Option 1, Option 2, Option 5, Option 6","Option 1, Option 5, Option 6","Option 1, Option 3, Option 4, Option 5"
11/29/2021 15:21:19,None of the above,"Option 1, Option 3, Option 4",Option 6,"Option 1, Option 2, Option 3, Option 4, Option 5, Option 6, None of the above","Option 1, Option 2, Option 3, Option 4, Option 5, Option 6, None of the above","Option 1, Option 2, Option 3, Option 4, Option 5, Option 6, None of the above"
11/29/2021 21:26:32,"Option 3, Option 4, Option 6","Option 1, Option 4","Option 1, Option 4, Option 6","Option 2, Option 3, Option 5, Option 6","Option 2, Option 3, Option 4, Option 5, Option 6","Option 1, Option 2, Option 3, Option 4, Option 5, Option 6"
11/29/2021 22:25:14,Option 4,Option 4,"Option 2, Option 6","Option 1, Option 6","Option 1, Option 5","Option 1, Option 4, Option 5"
11/29/2021 23:22:48,None of the above,Option 4,"Option 2, Option 6","Option 1, Option 2, Option 5, Option 6","Option 1, Option 3, Option 5, Option 6","Option 1, Option 3, Option 4, Option 5"
11/30/2021 0:59:14,"Option 2, Option 4, Option 6","Option 1, Option 3, Option 6","Option 1, Option 3, Option 4, Option 5",None of the above,None of the above,None of the above
11/30/2021 1:40:19,Option 5,"Option 4, Option 5",None of the above,Option 3,"Option 2, Option 4","Option 2, Option 6"
11/30/2021 16:41:34,"Option 3, Option 6","Option 1, Option 3","Option 1, Option 4, Option 5","Option 1, Option 4","Option 2, Option 3","Option 1, Option 5"
